"Geo_code","Geo_Label","Population","Year","Cohort","Eventname","Event_Label","Adjusted_Rate","OE_Ratio","Percentile","Short_label","cohort_web_label","Geo_Name"
"07","STATE",341676,2014,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",154.83,0.83,15.3,"DME Reimbursements","Reimbursements","Connecticut"
"21","STATE",620062,2017,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",140.38,0.83,17.3,"DME Reimbursements","Reimbursements","Maryland"
"50","STATE",539238,2011,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",220.24,0.9,28.8,"DME Reimbursements","Reimbursements","Washington"
"04","STATE",338966,2017,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",202.52,1.19,90.3,"DME Reimbursements","Reimbursements","Arkansas"
"31","STATE",876853,2018,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",171.72,0.87,30.7,"DME Reimbursements","Reimbursements","New Jersey"
"46","STATE",157763,2014,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",257.06,1.37,96.1,"DME Reimbursements","Reimbursements","Utah"
"37","STATE",408934,2015,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",214.63,1.1,69.2,"DME Reimbursements","Reimbursements","Oklahoma"
"16","STATE",381464,2015,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",198.94,1.02,50,"DME Reimbursements","Reimbursements","Iowa"
"14","STATE",1185299,2016,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",160.6,0.99,53.8,"DME Reimbursements","Reimbursements","Illinois"
"16","STATE",379985,2019,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",201.93,0.96,48,,,"Iowa"
"09","STATE",43763,2011,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",166.55,0.68,5.7,"DME Reimbursements","Reimbursements","District of Columbia"
"41","STATE",75570,2012,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",193.36,0.78,9.6,"DME Reimbursements","Reimbursements","Rhode Island"
"36","STATE",953594,2016,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",158.27,0.98,44.2,"DME Reimbursements","Reimbursements","Ohio"
"32","STATE",183661,2019,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",195.09,0.92,42.3,,,"New Mexico"
"28","STATE",198252,2012,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",247.49,1,53.8,"DME Reimbursements","Reimbursements","Nebraska"
"38","STATE",294791,2015,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",189.88,0.98,42.3,"DME Reimbursements","Reimbursements","Oregon"
"28","STATE",222474,2017,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",173.91,1.02,61.5,"DME Reimbursements","Reimbursements","Nebraska"
"28","STATE",209165,2014,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",206.87,1.1,71.1,"DME Reimbursements","Reimbursements","Nebraska"
"26","STATE",573650,2014,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",205.68,1.1,69.2,"DME Reimbursements","Reimbursements","Missouri"
"08","STATE",133741,2018,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",186.74,0.95,46.1,"DME Reimbursements","Reimbursements","Delaware"
"17","STATE",299942,2011,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",253.27,1.03,57.6,"DME Reimbursements","Reimbursements","Kansas"
"33","STATE",1429222,2012,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",229.91,0.93,34.6,"DME Reimbursements","Reimbursements","New York"
"41","STATE",82989,2015,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",142.37,0.73,9.6,"DME Reimbursements","Reimbursements","Rhode Island"
"41","STATE",78582,2016,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",131.02,0.81,15.3,"DME Reimbursements","Reimbursements","Rhode Island"
"32","STATE",167522,2014,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",200.12,1.07,61.5,"DME Reimbursements","Reimbursements","New Mexico"
"06","STATE",353775,2016,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",179.62,1.11,82.6,"DME Reimbursements","Reimbursements","Colorado"
"26","STATE",574952,2013,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",220.58,1.05,61.5,"DME Reimbursements","Reimbursements","Missouri"
"53","STATE",69253,2014,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",263.95,1.41,98,"DME Reimbursements","Reimbursements","Wyoming"
"43","STATE",97487,2014,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",209.58,1.12,73,"DME Reimbursements","Reimbursements","South Dakota"
"04","STATE",326417,2011,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",292.24,1.19,86.5,"DME Reimbursements","Reimbursements","Arkansas"
"49","STATE",865040,2018,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",181,0.92,38.4,"DME Reimbursements","Reimbursements","Virginia"
"35","STATE",81464,2019,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",186.49,0.88,32.6,,,"North Dakota"
"15","STATE",635590,2017,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",182.74,1.07,71.1,"DME Reimbursements","Reimbursements","Indiana"
"34","STATE",892468,2015,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",214.48,1.1,67.3,"DME Reimbursements","Reimbursements","North Carolina"
"29","STATE",212168,2016,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",167.99,1.04,63.4,"DME Reimbursements","Reimbursements","Nevada"
"18","STATE",412284,2013,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",262,1.25,94.2,"DME Reimbursements","Reimbursements","Kentucky"
"51","STATE",199126,2014,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",213.42,1.14,78.8,"DME Reimbursements","Reimbursements","West Virginia"
"36","STATE",881812,2013,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",200.57,0.96,46.1,"DME Reimbursements","Reimbursements","Ohio"
"05","STATE",2148329,2014,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",164.09,0.88,23,"DME Reimbursements","Reimbursements","California"
"34","STATE",878742,2014,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",210.17,1.12,75,"DME Reimbursements","Reimbursements","North Carolina"
"11","STATE",712308,2013,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",225.98,1.08,73,"DME Reimbursements","Reimbursements","Georgia"
"33","STATE",1400459,2018,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",171.93,0.87,32.6,"DME Reimbursements","Reimbursements","New York"
"20","STATE",162373,2015,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",182.86,0.94,38.4,"DME Reimbursements","Reimbursements","Maine"
"42","STATE",552483,2017,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",176.97,1.04,63.4,"DME Reimbursements","Reimbursements","South Carolina"
"31","STATE",800592,2019,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",184.42,0.87,25,,,"New Jersey"
"45","STATE",1744882,2013,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",220.96,1.06,63.4,"DME Reimbursements","Reimbursements","Texas"
"16","STATE",362710,2012,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",231.88,0.93,38.4,"DME Reimbursements","Reimbursements","Iowa"
"07","STATE",281994,2018,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",167.88,0.85,19.2,"DME Reimbursements","Reimbursements","Connecticut"
"52","STATE",471986,2017,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",148.69,0.87,26.9,"DME Reimbursements","Reimbursements","Wisconsin"
"26","STATE",561687,2016,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",179.26,1.11,80.7,"DME Reimbursements","Reimbursements","Missouri"
"03","STATE",463742,2012,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",239.63,0.97,50,"DME Reimbursements","Reimbursements","Arizona"
"11","STATE",724145,2015,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",208.3,1.07,61.5,"DME Reimbursements","Reimbursements","Georgia"
"29","STATE",204078,2014,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",200.93,1.07,63.4,"DME Reimbursements","Reimbursements","Nevada"
"08","STATE",118441,2013,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",206.65,0.99,51.9,"DME Reimbursements","Reimbursements","Delaware"
"23","STATE",823092,2019,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",223.12,1.06,63.4,,,"Michigan"
"19","STATE",361414,2019,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",231.84,1.1,71.1,,,"Louisiana"
"34","STATE",961949,2013,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",225.55,1.08,71.1,"DME Reimbursements","Reimbursements","North Carolina"
"25","STATE",315111,2011,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",307.27,1.25,92.3,"DME Reimbursements","Reimbursements","Mississippi"
"27","STATE",129439,2017,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",140.97,0.83,19.2,"DME Reimbursements","Reimbursements","Montana"
"20","STATE",155542,2017,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",132.22,0.78,15.3,"DME Reimbursements","Reimbursements","Maine"
"52","STATE",467891,2015,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",170.87,0.88,21.1,"DME Reimbursements","Reimbursements","Wisconsin"
"15","STATE",639349,2015,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",208.52,1.07,63.4,"DME Reimbursements","Reimbursements","Indiana"
"52","STATE",475343,2012,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",207.71,0.84,15.3,"DME Reimbursements","Reimbursements","Wisconsin"
"33","STATE",1400869,2019,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",181.45,0.86,21.1,,,"New York"
"35","STATE",77891,2011,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",198.89,0.81,17.3,"DME Reimbursements","Reimbursements","North Dakota"
"12","STATE",83307,2013,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",97.63,0.47,1.9,"DME Reimbursements","Reimbursements","Hawaii"
"22","STATE",651811,2014,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",134.7,0.72,7.6,"DME Reimbursements","Reimbursements","Massachusetts"
"37","STATE",414786,2017,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",195.83,1.15,84.6,"DME Reimbursements","Reimbursements","Oklahoma"
"20","STATE",151848,2018,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",158.26,0.8,15.3,"DME Reimbursements","Reimbursements","Maine"
"43","STATE",105550,2019,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",221.56,1.05,61.5,,,"South Dakota"
"36","STATE",866711,2015,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",177.94,0.92,28.8,"DME Reimbursements","Reimbursements","Ohio"
"36","STATE",934600,2018,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",195.89,0.99,51.9,"DME Reimbursements","Reimbursements","Ohio"
"24","STATE",237724,2017,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",152.1,0.89,32.6,"DME Reimbursements","Reimbursements","Minnesota"
"02","STATE",50927,2012,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",148.84,0.6,3.8,"DME Reimbursements","Reimbursements","Alaska"
"12","STATE",93423,2018,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",95.83,0.49,1.9,"DME Reimbursements","Reimbursements","Hawaii"
"52","STATE",470294,2019,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",184.8,0.87,28.8,,,"Wisconsin"
"42","STATE",541737,2016,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",162.62,1,55.7,"DME Reimbursements","Reimbursements","South Carolina"
"04","STATE",337115,2016,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",189.11,1.17,90.3,"DME Reimbursements","Reimbursements","Arkansas"
"17","STATE",323933,2017,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",202.94,1.19,92.3,"DME Reimbursements","Reimbursements","Kansas"
"42","STATE",538829,2015,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",202.31,1.04,53.8,"DME Reimbursements","Reimbursements","South Carolina"
"04","STATE",327165,2012,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",290.29,1.17,86.5,"DME Reimbursements","Reimbursements","Arkansas"
"13","STATE",153100,2017,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",170.94,1,53.8,"DME Reimbursements","Reimbursements","Idaho"
"24","STATE",298937,2011,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",206.33,0.84,21.1,"DME Reimbursements","Reimbursements","Minnesota"
"45","STATE",1742868,2018,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",202.81,1.03,57.6,"DME Reimbursements","Reimbursements","Texas"
"41","STATE",79083,2014,"Payment","pmt_dme","Durable Medical Equipment Reimbursements per Enrollee",135.13,0.72,9.6,"DME Reimbursements","Reimbursements","Rhode Island"
