Rndrng_Prvdr_Geo_Lvl,Rndrng_Prvdr_Geo_Cd,Rndrng_Prvdr_Geo_Desc,DRG_Cd,DRG_Desc,Tot_Dschrgs,Avg_Submtd_Cvrd_Chrg,Avg_Tot_Pymt_Amt,Avg_Mdcr_Pymt_Amt
National,,National,022,INTRACRANIAL VASCULAR PROCEDURES WITH PRINCIPAL DIAGNOSIS HEMORRHAGE WITHOUT CC/MCC,125,193573.136,46238.944,38562.4
National,,National,023,CRANIOTOMY WITH MAJOR DEVICE IMPLANT OR ACUTE COMPLEX CNS PRINCIPAL DIAGNOSIS WITH MCC O,11878,204077.96742,45480.342314,39642.310153
National,,National,024,CRANIOTOMY WITH MAJOR DEVICE IMPLANT OR ACUTE COMPLEX CNS PRINCIPAL DIAGNOSIS WITHOUT MC,4124,142381.17144,30347.297042,26266.515034
National,,National,025,CRANIOTOMY AND ENDOVASCULAR INTRACRANIAL PROCEDURES WITH MCC,21811,165255.20462,36420.082848,31243.953326
National,,National,026,CRANIOTOMY AND ENDOVASCULAR INTRACRANIAL PROCEDURES WITH CC,8827,114597.91617,25417.537215,21332.817718
National,,National,027,CRANIOTOMY AND ENDOVASCULAR INTRACRANIAL PROCEDURES WITHOUT CC/MCC,10693,95630.602824,20718.758908,16943.380997
National,,National,028,SPINAL PROCEDURES WITH MCC,2226,196645.66262,45867.374214,39647.488769
National,,National,029,SPINAL PROCEDURES WITH CC OR SPINAL NEUROSTIMULATORS,3945,114524.73283,26607.00583,22045.439797
National,,National,030,SPINAL PROCEDURES WITHOUT CC/MCC,1565,79708.294569,17556.623003,13914.905431
National,,National,031,VENTRICULAR SHUNT PROCEDURES WITH MCC,1043,149701.01534,35204.557047,29948.511985
National,,National,032,VENTRICULAR SHUNT PROCEDURES WITH CC,1963,78040.122262,18058.906775,15041.294447
National,,National,033,VENTRICULAR SHUNT PROCEDURES WITHOUT CC/MCC,2797,62844.07365,13757.959242,11633.616375
National,,National,034,CAROTID ARTERY STENT PROCEDURES WITH MCC,1079,136453.95644,30618.569045,26919.878591
National,,National,035,CAROTID ARTERY STENT PROCEDURES WITH CC,2623,79472.184903,16702.561952,14371.500572
National,,National,036,CAROTID ARTERY STENT PROCEDURES WITHOUT CC/MCC,3892,59695.418808,12637.671377,10699.929599
National,,National,037,EXTRACRANIAL PROCEDURES WITH MCC,3995,123018.04681,24935.533417,22034.467084
National,,National,038,EXTRACRANIAL PROCEDURES WITH CC,11827,66375.832586,12154.206561,10036.602012
National,,National,039,EXTRACRANIAL PROCEDURES WITHOUT CC/MCC,24106,44947.134033,8357.5030283,6532.1034597
National,,National,040,"PERIPHERAL, CRANIAL NERVE AND OTHER NERVOUS SYSTEM PROCEDURES WITH MCC",4981,133671.48906,30940.957238,26837.270829
National,,National,041,"PERIPHERAL, CRANIAL NERVE AND OTHER NERVOUS SYSTEM PROCEDURES WITH CC OR PERIPHERAL NEUR",6326,86343.319633,18375.534935,15317.594372
National,,National,042,"PERIPHERAL, CRANIAL NERVE AND OTHER NERVOUS SYSTEM PROCEDURES WITHOUT CC/MCC",2467,70966.768545,15174.237941,12253.211998
National,,National,052,SPINAL DISORDERS AND INJURIES WITH CC/MCC,902,66775.645233,14910.777162,12587.034368
National,,National,053,SPINAL DISORDERS AND INJURIES WITHOUT CC/MCC,223,37281.358744,8034.3497758,5807.0134529
National,,National,054,NERVOUS SYSTEM NEOPLASMS WITH MCC,13523,52997.736153,11447.305627,9046.6281151
National,,National,055,NERVOUS SYSTEM NEOPLASMS WITHOUT MCC,4220,41657.773697,8864.6969194,6783.4168246
National,,National,056,DEGENERATIVE NERVOUS SYSTEM DISORDERS WITH MCC,13107,64095.478065,16053.546502,13633.455024
National,,National,057,DEGENERATIVE NERVOUS SYSTEM DISORDERS WITHOUT MCC,29097,38733.213493,10382.335842,8447.1981304
National,,National,058,MULTIPLE SCLEROSIS AND CEREBELLAR ATAXIA WITH MCC,911,66886.819978,15270.990121,11856.270033
National,,National,059,MULTIPLE SCLEROSIS AND CEREBELLAR ATAXIA WITH CC,2757,40910.355459,9659.5375408,6978.1762786
National,,National,060,MULTIPLE SCLEROSIS AND CEREBELLAR ATAXIA WITHOUT CC/MCC,2378,34016.173255,7737.5815812,5239.804878
National,,National,061,"ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA WITH THROMBOLYTIC AGENT WIT",5819,109372.23372,21573.059976,18972.089534
National,,National,062,"ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA WITH THROMBOLYTIC AGENT WIT",10349,82396.383612,14957.192289,12335.804039
National,,National,063,"ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA WITH THROMBOLYTIC AGENT WIT",2252,72636.300178,13016.655861,10115.919183
National,,National,064,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITH MCC,82448,65499.89642,14263.343877,12092.123253
National,,National,065,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITH CC OR TPA IN 24 HOURS,104309,39612.447775,8185.6326108,6372.8289697
National,,National,066,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITHOUT CC/MCC,34264,31157.711534,6137.7030119,4360.0499066
National,,National,067,NONSPECIFIC CVA AND PRECEREBRAL OCCLUSION WITHOUT INFARCTION WITH MCC,978,57239.793456,11298.806748,9591.2137014
National,,National,068,NONSPECIFIC CVA AND PRECEREBRAL OCCLUSION WITHOUT INFARCTION WITHOUT MCC,4082,37737.340029,7191.9936306,5669.8836355
National,,National,069,TRANSIENT ISCHEMIA WITHOUT THROMBOLYTIC,40331,33834.21445,6047.8067987,4570.4480672
National,,National,070,NONSPECIFIC CEREBROVASCULAR DISORDERS WITH MCC,17643,55504.639687,13070.62376,11161.906308
National,,National,071,NONSPECIFIC CEREBROVASCULAR DISORDERS WITH CC,17011,35642.117277,7946.7373464,6381.6797366
National,,National,072,NONSPECIFIC CEREBROVASCULAR DISORDERS WITHOUT CC/MCC,4162,30561.813791,6170.786641,4597.6246997
National,,National,073,CRANIAL AND PERIPHERAL NERVE DISORDERS WITH MCC,7388,49050.393205,11833.745127,10020.285057
National,,National,074,CRANIAL AND PERIPHERAL NERVE DISORDERS WITHOUT MCC,16749,37506.324975,8295.8450057,6362.6368141
National,,National,075,VIRAL MENINGITIS WITH CC/MCC,705,58550.390071,13565.513475,10298.289362
National,,National,076,VIRAL MENINGITIS WITHOUT CC/MCC,200,34361.82,7963.575,5333.395
National,,National,077,HYPERTENSIVE ENCEPHALOPATHY WITH MCC,2134,54551.30553,12425.258201,10495.804124
National,,National,078,HYPERTENSIVE ENCEPHALOPATHY WITH CC,2931,38044.270556,7727.8263391,6107.7113613
National,,National,079,HYPERTENSIVE ENCEPHALOPATHY WITHOUT CC/MCC,661,29713.332829,5907.1649017,4320.2980333
National,,National,080,NONTRAUMATIC STUPOR AND COMA WITH MCC,807,64059.625774,14534.653036,12752.064436
National,,National,081,NONTRAUMATIC STUPOR AND COMA WITHOUT MCC,620,28690.367742,7125.1870968,5523.8596774
National,,National,082,TRAUMATIC STUPOR AND COMA >1 HOUR WITH MCC,7250,81085.521103,18616.984138,16112.548
National,,National,083,TRAUMATIC STUPOR AND COMA >1 HOUR WITH CC,8962,49029.550881,10988.433274,8842.2146842
National,,National,084,TRAUMATIC STUPOR AND COMA >1 HOUR WITHOUT CC/MCC,4875,35248.958359,8078.6192821,6127.4231795
National,,National,085,TRAUMATIC STUPOR AND COMA <1 HOUR WITH MCC,8707,76924.235558,16755.010107,14404.643735
National,,National,086,TRAUMATIC STUPOR AND COMA <1 HOUR WITH CC,14908,46420.715589,9849.4496244,7916.3302925
National,,National,087,TRAUMATIC STUPOR AND COMA <1 HOUR WITHOUT CC/MCC,8916,33651.240242,7172.7275684,5324.6352624
National,,National,088,CONCUSSION WITH MCC,722,50215.570637,11187.49446,9115.1523546
National,,National,089,CONCUSSION WITH CC,1829,41529.224166,8828.3739748,6382.6325861
National,,National,090,CONCUSSION WITHOUT CC/MCC,727,36089.174691,7438.5584594,4911.3975241
National,,National,091,OTHER DISORDERS OF NERVOUS SYSTEM WITH MCC,15207,54469.067403,12623.619386,10669.796804
National,,National,092,OTHER DISORDERS OF NERVOUS SYSTEM WITH CC,21643,35595.626207,7752.12891,6194.9435845
National,,National,093,OTHER DISORDERS OF NERVOUS SYSTEM WITHOUT CC/MCC,7763,30794.37318,6332.1302332,4709.7495813
National,,National,094,BACTERIAL AND TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM WITH MCC,1529,122957.24722,29560.827338,24803.373447
National,,National,095,BACTERIAL AND TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM WITH CC,1302,91031.160522,19387.136713,16108.53533
National,,National,096,BACTERIAL AND TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM WITHOUT CC/MCC,478,85236.322176,18093.451883,13855.621339
National,,National,097,NON-BACTERIAL INFECTION OF NERVOUS SYSTEM EXCEPT VIRAL MENINGITIS WITH MCC,2308,122343.15685,29643.944107,25909.133449
National,,National,098,NON-BACTERIAL INFECTION OF NERVOUS SYSTEM EXCEPT VIRAL MENINGITIS WITH CC,1338,71820.254111,16667.606129,13162.563528
National,,National,099,NON-BACTERIAL INFECTION OF NERVOUS SYSTEM EXCEPT VIRAL MENINGITIS WITHOUT CC/MCC,518,52906.743243,11252.430502,8646.3552124
National,,National,100,SEIZURES WITH MCC,27006,62803.760424,13973.682959,11928.194142
National,,National,101,SEIZURES WITHOUT MCC,41023,33980.636423,7373.0349316,5634.7978207
National,,National,102,HEADACHES WITH MCC,1458,44361.934156,9242.196845,7036.8758573
National,,National,103,HEADACHES WITHOUT MCC,9184,32607.710475,6930.0510671,4601.0455139
National,,National,113,ORBITAL PROCEDURES WITH CC/MCC,451,87001.086475,21561.474501,18085.991131
National,,National,114,ORBITAL PROCEDURES WITHOUT CC/MCC,146,51949.041096,13456.554795,10517.136986
National,,National,115,EXTRAOCULAR PROCEDURES EXCEPT ORBIT,726,57104.73416,13719.859504,11128.692837
National,,National,116,INTRAOCULAR PROCEDURES WITH CC/MCC,412,75351.699029,16868.883495,13703.524272
National,,National,117,INTRAOCULAR PROCEDURES WITHOUT CC/MCC,183,42121.775956,11596.825137,7863.7759563
National,,National,121,ACUTE MAJOR EYE INFECTIONS WITH CC/MCC,608,42771.853618,10654.690789,7946.8700658
National,,National,122,ACUTE MAJOR EYE INFECTIONS WITHOUT CC/MCC,158,22169.607595,7610.6582278,5035.4303797
National,,National,123,NEUROLOGICAL EYE DISORDERS,2676,34977.032885,6809.9760837,4849.9618834
National,,National,124,OTHER DISORDERS OF THE EYE WITH MCC,966,48163.575569,11281.995859,9308.873706
National,,National,125,OTHER DISORDERS OF THE EYE WITHOUT MCC,3238,30393.533045,7061.5574429,5257.3119209
National,,National,129,MAJOR HEAD AND NECK PROCEDURES WITH CC/MCC OR MAJOR DEVICE,2163,103021.36477,23399.76098,18910.130837
National,,National,130,MAJOR HEAD AND NECK PROCEDURES WITHOUT CC/MCC,1088,65194.961397,14393.89614,10984.397059
National,,National,131,CRANIAL AND FACIAL PROCEDURES WITH CC/MCC,1293,109344.59474,24177.218871,20096.600928
National,,National,132,CRANIAL AND FACIAL PROCEDURES WITHOUT CC/MCC,484,66152.570248,15364.820248,11604.051653
National,,National,133,"OTHER EAR, NOSE, MOUTH AND THROAT O.R. PROCEDURES WITH CC/MCC",1810,83366.477901,19089.71989,15754.854696
National,,National,134,"OTHER EAR, NOSE, MOUTH AND THROAT O.R. PROCEDURES WITHOUT CC/MCC",941,50362.517535,10802.87779,8277.6439957
National,,National,135,SINUS AND MASTOID PROCEDURES WITH CC/MCC,295,89812.701695,20865.691525,16894.752542
National,,National,136,SINUS AND MASTOID PROCEDURES WITHOUT CC/MCC,82,56256.634146,12326.597561,9451.7560976
National,,National,137,MOUTH PROCEDURES WITH CC/MCC,952,52199.784664,13000.99895,10137.178571
National,,National,138,MOUTH PROCEDURES WITHOUT CC/MCC,432,34620.93287,8349.2407407,6035.2824074
National,,National,139,SALIVARY GLAND PROCEDURES,262,50218.087786,10401.59542,7833.9732824
National,,National,146,"EAR, NOSE, MOUTH AND THROAT MALIGNANCY WITH MCC",1079,70244.356812,17751.387396,14861.359592
National,,National,147,"EAR, NOSE, MOUTH AND THROAT MALIGNANCY WITH CC",840,45533.029762,11141.99881,9159.0940476
National,,National,148,"EAR, NOSE, MOUTH AND THROAT MALIGNANCY WITHOUT CC/MCC",235,30796.710638,7363.6255319,5474.8553191
National,,National,149,DYSEQUILIBRIUM,15741,30248.644813,5893.0931961,4334.2107236
National,,National,150,EPISTAXIS WITH MCC,960,41387.051042,10666.448958,9044.5520833
National,,National,151,EPISTAXIS WITHOUT MCC,2386,22928.482397,6112.6362112,4682.8616932
National,,National,152,OTITIS MEDIA AND URI WITH MCC,4009,36696.843352,8819.7306061,7063.6525318
National,,National,153,OTITIS MEDIA AND URI WITHOUT MCC,9621,25378.341856,6126.1211932,4441.1642241
National,,National,154,"OTHER EAR, NOSE, MOUTH AND THROAT DIAGNOSES WITH MCC",2164,52131.189464,12089.19085,10227.193161
National,,National,155,"OTHER EAR, NOSE, MOUTH AND THROAT DIAGNOSES WITH CC",4074,33129.954099,7603.4047619,5830.7707413
National,,National,156,"OTHER EAR, NOSE, MOUTH AND THROAT DIAGNOSES WITHOUT CC/MCC",1628,25786.854423,5871.9072482,4179.6990172
National,,National,157,DENTAL AND ORAL DISEASES WITH MCC,1913,55690.322007,13913.042342,11589.914271
National,,National,158,DENTAL AND ORAL DISEASES WITH CC,3251,31530.003384,7746.2020917,5891.1030452
National,,National,159,DENTAL AND ORAL DISEASES WITHOUT CC/MCC,901,26361.63818,6045.3529412,4359.4550499
National,,National,163,MAJOR CHEST PROCEDURES WITH MCC,11409,166996.61346,38124.2335,33173.630029
National,,National,164,MAJOR CHEST PROCEDURES WITH CC,15678,95064.36682,20701.061169,17281.47927
National,,National,165,MAJOR CHEST PROCEDURES WITHOUT CC/MCC,8431,71812.929783,15341.171154,12243.301862
National,,National,166,OTHER RESPIRATORY SYSTEM O.R. PROCEDURES WITH MCC,28203,127635.59019,28534.166649,24651.100876
National,,National,167,OTHER RESPIRATORY SYSTEM O.R. PROCEDURES WITH CC,11677,66781.541321,14632.063372,11990.661043
National,,National,168,OTHER RESPIRATORY SYSTEM O.R. PROCEDURES WITHOUT CC/MCC,3066,50933.783757,10760.527071,8169.9468363
National,,National,175,PULMONARY EMBOLISM WITH MCC OR ACUTE COR PULMONALE,28222,49778.383247,11200.675147,9304.6637021
National,,National,176,PULMONARY EMBOLISM WITHOUT MCC,30209,31465.40286,7175.5759873,5432.9219769
National,,National,177,RESPIRATORY INFECTIONS AND INFLAMMATIONS WITH MCC,78233,58699.22217,13379.75348,11736.07277
National,,National,178,RESPIRATORY INFECTIONS AND INFLAMMATIONS WITH CC,31258,39976.496257,9765.574317,8152.5120289
National,,National,179,RESPIRATORY INFECTIONS AND INFLAMMATIONS WITHOUT CC/MCC,5843,28810.758343,7279.3629985,5736.0622968
National,,National,180,RESPIRATORY NEOPLASMS WITH MCC,18783,61677.928925,13598.844008,11529.422936
National,,National,181,RESPIRATORY NEOPLASMS WITH CC,10217,42888.365078,9457.3674268,7646.5790349
National,,National,182,RESPIRATORY NEOPLASMS WITHOUT CC/MCC,613,33445.495922,6835.1468189,5300.3523654
National,,National,183,MAJOR CHEST TRAUMA WITH MCC,5280,54515.110606,12566.22178,10021.511553
National,,National,184,MAJOR CHEST TRAUMA WITH CC,10816,39400.242049,9028.4031065,6300.3463388
National,,National,185,MAJOR CHEST TRAUMA WITHOUT CC/MCC,3131,29259.467263,6814.4694986,4502.358352
National,,National,186,PLEURAL EFFUSION WITH MCC,9904,51042.756361,11749.613489,10025.553312
National,,National,187,PLEURAL EFFUSION WITH CC,6514,36259.973442,8272.2704943,6771.8949954
National,,National,188,PLEURAL EFFUSION WITHOUT CC/MCC,1335,27404.331086,6391.3580524,5098.1348315
National,,National,189,PULMONARY EDEMA AND RESPIRATORY FAILURE,148383,40675.230929,9644.8333771,8080.7228052
National,,National,190,CHRONIC OBSTRUCTIVE PULMONARY DISEASE WITH MCC,138020,37348.144385,8780.4119983,7252.6584191
National,,National,191,CHRONIC OBSTRUCTIVE PULMONARY DISEASE WITH CC,70711,29915.379983,7106.8041465,5702.0805108
National,,National,192,CHRONIC OBSTRUCTIVE PULMONARY DISEASE WITHOUT CC/MCC,28637,23706.706324,5770.6164752,4327.6608932
National,,National,193,SIMPLE PNEUMONIA AND PLEURISY WITH MCC,164228,42988.360462,10028.978098,8409.9369048
National,,National,194,SIMPLE PNEUMONIA AND PLEURISY WITH CC,121291,29566.663017,7166.8469466,5600.8148832
National,,National,195,SIMPLE PNEUMONIA AND PLEURISY WITHOUT CC/MCC,31729,22978.508462,5580.8929055,4034.4804122
National,,National,196,INTERSTITIAL LUNG DISEASE WITH MCC,8329,54932.851363,13093.092448,10933.700084
National,,National,197,INTERSTITIAL LUNG DISEASE WITH CC,2927,34987.608814,8759.1356338,6824.7290741
National,,National,198,INTERSTITIAL LUNG DISEASE WITHOUT CC/MCC,781,27649.329065,6951.318822,4927.6107554
National,,National,199,PNEUMOTHORAX WITH MCC,6504,60330.682811,13926.576876,11788.198954
National,,National,200,PNEUMOTHORAX WITH CC,9942,38359.378194,8807.4841078,6766.6747133
National,,National,201,PNEUMOTHORAX WITHOUT CC/MCC,1875,25890.174933,6140.1402667,4356.9717333
National,,National,202,BRONCHITIS AND ASTHMA WITH CC/MCC,39897,33076.21157,7436.4678297,5753.1821941
National,,National,203,BRONCHITIS AND ASTHMA WITHOUT CC/MCC,9635,24455.516554,5872.4548002,4227.4087182
National,,National,204,RESPIRATORY SIGNS AND SYMPTOMS,7874,29743.6651,6671.6356363,5180.9248158
National,,National,205,OTHER RESPIRATORY SYSTEM DIAGNOSES WITH MCC,8784,54624.218352,13249.73873,10723.590164
National,,National,206,OTHER RESPIRATORY SYSTEM DIAGNOSES WITHOUT MCC,9739,32446.060684,7512.0790636,5738.8360201
National,,National,207,RESPIRATORY SYSTEM DIAGNOSIS WITH VENTILATOR SUPPORT >96 HOURS,17195,183774.95423,41248.614539,37083.889852
National,,National,208,RESPIRATORY SYSTEM DIAGNOSIS WITH VENTILATOR SUPPORT <=96 HOURS,54582,86140.026053,18118.950753,15974.46497
National,,National,215,OTHER HEART ASSIST SYSTEM IMPLANT,7362,321892.67427,93520.862266,85780.221407
National,,National,216,CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITH CARDIAC CATHETERIZATION WIT,6188,372446.79218,81700.124758,71989.001293
National,,National,217,CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITH CARDIAC CATHETERIZATION WIT,2200,243471.61318,50524.673182,44099.375
National,,National,218,CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITH CARDIAC CATHETERIZATION WIT,256,186066.01953,43857.875,38179.160156
National,,National,219,CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITHOUT CARDIAC CATHETERIZATION,16260,293947.34397,65644.865129,57332.777798
National,,National,220,CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITHOUT CARDIAC CATHETERIZATION,16685,196654.25118,42191.26365,35544.698052
National,,National,221,CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITHOUT CARDIAC CATHETERIZATION,2783,160379.74811,35260.346029,30385.347107
National,,National,222,"CARDIAC DEFIBRILLATOR IMPLANT WITH CARDIAC CATHETERIZATION WITH AMI, HF OR SHOCK WITH MC",1852,302105.89741,67013.150108,59780.587473
National,,National,223,"CARDIAC DEFIBRILLATOR IMPLANT WITH CARDIAC CATHETERIZATION WITH AMI, HF OR SHOCK WITHOUT",523,218505.99809,49033.667304,42648.455067
National,,National,224,"CARDIAC DEFIBRILLATOR IMPLANT WITH CARDIAC CATHETERIZATION WITHOUT AMI, HF OR SHOCK WITH",2325,270286.25032,58764.470968,51565.006022
National,,National,225,"CARDIAC DEFIBRILLATOR IMPLANT WITH CARDIAC CATHETERIZATION WITHOUT AMI, HF OR SHOCK WITH",1688,204276.6564,43106.337085,37239.577607
National,,National,226,CARDIAC DEFIBRILLATOR IMPLANT WITHOUT CARDIAC CATHETERIZATION WITH MCC,5183,227839.77233,51661.283427,46704.069458
National,,National,227,CARDIAC DEFIBRILLATOR IMPLANT WITHOUT CARDIAC CATHETERIZATION WITHOUT MCC,5009,179056.93572,40432.665602,36005.180874
National,,National,228,OTHER CARDIOTHORACIC PROCEDURES WITH MCC,6290,231255.0159,52613.769157,47989.190143
National,,National,229,OTHER CARDIOTHORACIC PROCEDURES WITHOUT MCC,7367,161624.1238,35619.812542,31719.666757
National,,National,231,CORONARY BYPASS WITH PTCA WITH MCC,1002,314798.76148,64263.001996,55607.002994
National,,National,232,CORONARY BYPASS WITH PTCA WITHOUT MCC,696,232849.24713,44079.662356,38149.136494
National,,National,233,CORONARY BYPASS WITH CARDIAC CATHETERIZATION WITH MCC,12480,274574.37396,54378.286939,47415.022035
National,,National,234,CORONARY BYPASS WITH CARDIAC CATHETERIZATION WITHOUT MCC,14632,192293.8601,37337.619874,30757.554401
National,,National,235,CORONARY BYPASS WITHOUT CARDIAC CATHETERIZATION WITH MCC,11047,213374.49208,44445.620983,38182.4957
National,,National,236,CORONARY BYPASS WITHOUT CARDIAC CATHETERIZATION WITHOUT MCC,19700,148841.37127,29601.470305,24396.540254
National,,National,239,AMPUTATION FOR CIRCULATORY SYSTEM DISORDERS EXCEPT UPPER LIMB AND TOE WITH MCC,9951,142623.28198,33984.948548,30334.64908
National,,National,240,AMPUTATION FOR CIRCULATORY SYSTEM DISORDERS EXCEPT UPPER LIMB AND TOE WITH CC,8180,86610.683741,19633.161369,17238.707579
National,,National,241,AMPUTATION FOR CIRCULATORY SYSTEM DISORDERS EXCEPT UPPER LIMB AND TOE WITHOUT CC/MCC,652,47021.003067,11161.498466,9721.553681
National,,National,242,PERMANENT CARDIAC PACEMAKER IMPLANT WITH MCC,19391,125667.02073,27068.712856,24622.149193
National,,National,243,PERMANENT CARDIAC PACEMAKER IMPLANT WITH CC,25369,88106.810083,18830.463755,16713.245772
National,,National,244,PERMANENT CARDIAC PACEMAKER IMPLANT WITHOUT CC/MCC,15237,72121.93588,15573.155871,13270.051847
National,,National,245,AICD GENERATOR PROCEDURES,2084,183537.86564,41927.435701,37551.903551
National,,National,246,PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITH DRUG-ELUTING STENT WITH MCC OR 4+ ARTERIES O,49460,129225.25323,24668.408087,21405.66945
National,,National,247,PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITH DRUG-ELUTING STENT WITHOUT MCC,86475,89091.406256,16054.34477,12810.103487
National,,National,248,PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITH NON-DRUG-ELUTING STENT WITH MCC OR 4+ ARTERI,3109,120482.57253,22465.373432,19911.011258
National,,National,249,PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITH NON-DRUG-ELUTING STENT WITHOUT MCC,4023,82886.332588,14165.669898,11839.667661
National,,National,250,PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITHOUT CORONARY ARTERY STENT WITH MCC,4183,103347.11284,19316.753765,16716.812575
National,,National,251,PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITHOUT CORONARY ARTERY STENT WITHOUT MCC,5509,73473.910329,12635.891087,10184.709385
National,,National,252,OTHER VASCULAR PROCEDURES WITH MCC,35369,117233.48608,26225.807996,23642.962764
National,,National,253,OTHER VASCULAR PROCEDURES WITH CC,25486,94906.50977,19949.818724,17240.563525
National,,National,254,OTHER VASCULAR PROCEDURES WITHOUT CC/MCC,11946,66651.073665,13811.643312,11333.735309
National,,National,255,UPPER LIMB AND TOE AMPUTATION FOR CIRCULATORY SYSTEM DISORDERS WITH MCC,2283,84195.103373,18851.65922,16465.704774
National,,National,256,UPPER LIMB AND TOE AMPUTATION FOR CIRCULATORY SYSTEM DISORDERS WITH CC,2262,54744.333775,13001.095933,11141.912025
National,,National,257,UPPER LIMB AND TOE AMPUTATION FOR CIRCULATORY SYSTEM DISORDERS WITHOUT CC/MCC,116,36489.87931,9233.7068966,7972.7844828
National,,National,258,CARDIAC PACEMAKER DEVICE REPLACEMENT WITH MCC,623,104081.68058,23454.414125,21219.357945
National,,National,259,CARDIAC PACEMAKER DEVICE REPLACEMENT WITHOUT MCC,964,73583.86722,15513.157676,13850.725104
National,,National,260,CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT WITH MCC,2671,134260.62149,30409.595657,26603.637963
National,,National,261,CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT WITH CC,3560,71350.908708,15170.008989,12897.816573
National,,National,262,CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT WITHOUT CC/MCC,1504,60214.241356,12148.795878,10202.337766
